Time, RPM
68.843, 5211.43
68.863, 5211.43
68.883, 5257.14
68.903, 5457.14
68.923, 5457.14
68.943, 5628.57
68.963, 5714.29
68.983, 5714.29
69.003, 5760
69.023, 5788.57
69.043, 5788.57
69.063, 5800
69.083, 5811.43
69.103, 5811.43
69.123, 5817.14
69.143, 5817.14
69.163, 5817.14
69.183, 5822.86
69.203, 5822.86
69.223, 5822.86
69.243, 5822.86
69.263, 5822.86
69.283, 5822.86
69.303, 5828.57
69.323, 5828.57
69.343, 5822.86
69.363, 5822.86
69.383, 5828.57
69.403, 5828.57
69.423, 5828.57
69.443, 5828.57
69.463, 5828.57
69.483, 5828.57
69.503, 5828.57
69.523, 5828.57
69.543, 5828.57
69.563, 5828.57
69.583, 5828.57
69.603, 5828.57
69.623, 5828.57
69.643, 5828.57
69.663, 5834.28
69.683, 5828.57
69.703, 5828.57
69.723, 5834.29
69.743, 5828.57
69.763, 5828.57
69.783, 5834.29
69.803, 5828.57
69.823, 5828.57
69.843, 5822.86
69.863, 5822.86
69.883, 5800
69.903, 5760
69.923, 5760
69.943, 5720
69.963, 5657.14
69.983, 5657.14
70.003, 5594.29
70.023, 5514.29
70.043, 5514.29
70.063, 5422.86
70.083, 5331.43
70.103, 5331.43
70.123, 5240
70.143, 5240
70.163, 5154.29
70.183, 5062.86
70.203, 5062.86
70.223, 4982.86
70.243, 4891.43
70.263, 4891.43
70.283, 4805.71
70.303, 4725.71
70.323, 4725.71
70.343, 4640
70.363, 4640
70.383, 4554.29
70.403, 4474.29
70.423, 4474.29
70.443, 4388.57
70.463, 4302.86
70.483, 4302.86
70.503, 4228.57
70.523, 4142.86
70.543, 4142.86
70.563, 4062.86
70.583, 3982.86
70.603, 3982.86
70.623, 3902.86
70.643, 3902.86
70.663, 3822.86
70.683, 3748.57
70.703, 3748.57
70.723, 3668.57
70.743, 3588.57
70.763, 3588.57
70.783, 3514.29
70.803, 3440
70.823, 3440
70.843, 3365.71
70.863, 3365.71
70.883, 3291.43
70.903, 3217.14
70.923, 3217.14
70.943, 3148.57
70.963, 3074.29
70.983, 3074.29
71.003, 3005.71
71.023, 2931.43
71.043, 2931.43
71.063, 2862.86
71.083, 2788.57
71.103, 2788.57
71.123, 2725.71
71.143, 2725.71
71.163, 2651.43
71.183, 2582.86
71.203, 2582.86
71.223, 2520
71.243, 2445.71
71.263, 2445.71
71.283, 2382.86
71.303, 2314.29
71.323, 2314.29
71.343, 2257.14
71.363, 2257.14
71.383, 2188.57
71.403, 2125.71
71.423, 2125.71
71.443, 2062.86
